mobage_user_id,rank,sales,activity
37384,7,1400.0,782.333333333333333333
148049,7,3.333333333333333333,0.333333333333333333
196729,15,733.333333333333333333,780.333333333333333333
211556,18,94333.333333333333333333,5001.0
250929,17,2733.333333333333333333,4391.0
286799,15,733.333333333333333333,3638.666666666666666667
321375,16,1100.0,1274.666666666666666667
370140,16,8233.333333333333333333,1334.666666666666666667
433834,7,666.666666666666666667,101.333333333333333333
435081,19,12166.666666666666666667,5001.0
452400,10,3.333333333333333333,720.333333333333333333
465893,16,50066.666666666666666667,925.0
474271,15,166.666666666666666667,1707.0
491397,14,1200.0,349.666666666666666667
561213,17,28233.333333333333333333,1595.666666666666666667
615321,14,333.333333333333333333,521.333333333333333333
648950,7,166.666666666666666667,837.666666666666666667
658321,7,600.0,4.0
672436,7,9033.333333333333333333,885.666666666666666667
684901,16,1800.0,1994.666666666666666667
791379,14,3400.0,1009.0
825620,16,3133.333333333333333333,4.666666666666666667
901140,7,66.666666666666666667,122.0
947607,8,1000.0,347.0
965820,12,833.333333333333333333,1480.0
1043721,16,100001.0,2679.0
1093797,13,27733.333333333333333333,919.333333333333333333
1132468,14,133.333333333333333333,454.333333333333333333
1142515,18,20466.666666666666666667,5001.0
1280775,14,21866.666666666666666667,1153.0
1285400,8,333.333333333333333333,82.333333333333333333
1392456,10,4633.333333333333333333,763.666666666666666667
1473505,16,900.0,960.0
1623033,12,27933.333333333333333333,1740.333333333333333333
1666566,16,5466.666666666666666667,149.0
1712664,14,1666.666666666666666667,1138.666666666666666667
1735453,15,7566.666666666666666667,305.666666666666666667
1781175,18,78266.666666666666666667,3680.333333333333333333
1784212,16,566.666666666666666667,1367.666666666666666667
1817275,17,67566.666666666666666667,1835.333333333333333333
2019422,10,400.0,114.0
2162540,15,13500.0,142.333333333333333333
2167671,9,666.666666666666666667,330.333333333333333333
2172895,12,1000.0,790.0
2186489,15,100.0,2984.666666666666666667
2267664,17,6466.666666666666666667,872.333333333333333333
2408165,7,333.333333333333333333,128.666666666666666667
2623756,17,53000.0,4639.333333333333333333
2628123,19,38833.333333333333333333,4839.333333333333333333
2680463,15,600.0,974.333333333333333333
2705719,7,1700.0,66.333333333333333333
2767703,16,2000.0,416.0
2786969,7,1966.666666666666666667,163.666666666666666667
2851027,13,5000.0,647.0
2954144,12,5266.666666666666666667,1137.333333333333333333
2980484,16,5400.0,3098.0
2983669,8,1466.666666666666666667,1947.666666666666666667
2987395,16,51100.0,1214.333333333333333333
2993753,10,366.666666666666666667,32.0
3083269,17,22066.666666666666666667,1851.666666666666666667
3105379,10,200.0,25.333333333333333333
3133788,17,15733.333333333333333333,1145.0
3134739,17,59700.0,1445.333333333333333333
3149179,16,3766.666666666666666667,5001.0
3156548,9,1600.0,1.333333333333333333
3304747,16,34400.0,1772.0
3357422,16,2866.666666666666666667,1083.666666666666666667
3372441,14,766.666666666666666667,453.666666666666666667
3382182,16,266.666666666666666667,514.0
3469936,15,3133.333333333333333333,1901.666666666666666667
3474312,19,100001.0,5001.0
3479917,16,25233.333333333333333333,1491.666666666666666667
3512417,14,1700.0,425.0
3715231,12,15566.666666666666666667,37.0
3764327,17,100001.0,3011.666666666666666667
3765836,17,29866.666666666666666667,2539.0
3814627,13,766.666666666666666667,295.666666666666666667
3821402,15,9100.0,386.333333333333333333
3882678,14,33.333333333333333333,1052.333333333333333333
4001627,17,43266.666666666666666667,2075.333333333333333333
4016375,16,46266.666666666666666667,3736.333333333333333333
4049309,17,79133.333333333333333333,2228.0
4073692,15,14766.666666666666666667,2840.0
4122200,17,36933.333333333333333333,3514.333333333333333333
4140423,14,166.666666666666666667,1086.0
4286107,14,766.666666666666666667,414.333333333333333333
4286590,13,1166.666666666666666667,1701.333333333333333333
4312139,15,17966.666666666666666667,1385.666666666666666667
4331490,14,2600.0,570.333333333333333333
4362274,14,1500.0,2348.666666666666666667
4376861,7,1966.666666666666666667,511.666666666666666667
4419134,14,966.666666666666666667,287.333333333333333333
4426827,15,9900.0,1435.666666666666666667
4429661,14,4033.333333333333333333,984.666666666666666667
4439258,17,20200.0,1662.333333333333333333
4467770,16,24000.0,1784.666666666666666667
4487933,13,700.0,1126.666666666666666667
4491768,7,366.666666666666666667,131.333333333333333333
4583641,15,866.666666666666666667,557.666666666666666667
4588506,16,21033.333333333333333333,3303.0
4601514,17,42733.333333333333333333,1361.666666666666666667
4679259,16,8100.0,813.0
4686858,15,90570.0,1973.333333333333333333
4723706,17,15200.0,5001.0
4747373,17,1500.0,5001.0
4772473,11,8133.333333333333333333,81.333333333333333333
4791704,16,37566.666666666666666667,1639.0
4854425,15,8866.666666666666666667,1663.666666666666666667
4891572,16,12166.666666666666666667,1786.333333333333333333
4952938,13,2036.666666666666666667,1115.333333333333333333
4963104,13,1400.0,681.0
4977299,16,50800.0,1532.0
4986263,18,17300.0,4888.333333333333333333
4997018,16,66.666666666666666667,2893.0
5030091,16,5566.666666666666666667,2760.0
5050379,7,17933.333333333333333333,436.666666666666666667
5097913,17,1200.0,1326.0
5116377,12,6033.333333333333333333,795.666666666666666667
5124729,13,200.0,295.333333333333333333
5155462,7,3133.333333333333333333,333.333333333333333333
5218901,13,3.333333333333333333,920.333333333333333333
5225656,7,3.333333333333333333,1.0
5251121,16,1333.333333333333333333,975.0
5356502,15,1366.666666666666666667,1206.333333333333333333
5401606,15,133.333333333333333333,712.666666666666666667
5423477,15,33.333333333333333333,764.333333333333333333
5446693,13,333.333333333333333333,823.333333333333333333
5455294,17,51966.666666666666666667,2045.333333333333333333
5467526,11,100.0,2118.333333333333333333
5480575,16,1300.0,1298.333333333333333333
5650681,14,23566.666666666666666667,1237.333333333333333333
5651125,15,70.0,76.0
5733017,18,15733.333333333333333333,1370.666666666666666667
5762670,16,8133.333333333333333333,1284.0
5824266,18,100001.0,4900.0
5834097,7,766.666666666666666667,136.333333333333333333
5899209,13,1500.0,648.333333333333333333
5970962,14,9733.333333333333333333,318.333333333333333333
5973387,15,2700.0,798.333333333333333333
6010935,11,933.333333333333333333,656.333333333333333333
6035100,14,2300.0,441.333333333333333333
6037335,16,1033.333333333333333333,4960.333333333333333333
6121949,15,3566.666666666666666667,356.666666666666666667
6351845,13,3900.0,650.666666666666666667
6363445,14,2900.0,1644.0
6420948,15,700.0,1214.333333333333333333
6501704,14,2266.666666666666666667,645.666666666666666667
6543666,17,59100.0,2981.0
6568940,16,3566.666666666666666667,1344.666666666666666667
6627660,15,9600.0,560.333333333333333333
6642103,13,1166.666666666666666667,245.666666666666666667
6703529,15,3166.666666666666666667,1703.0
6769459,14,1100.0,538.0
6811897,13,800.0,265.666666666666666667
6819491,11,3.333333333333333333,680.0
6861362,15,20200.0,1190.0
6864791,10,1366.666666666666666667,4.0
6868810,13,1066.666666666666666667,1205.333333333333333333
6894185,7,700.0,567.333333333333333333
6931861,16,1233.333333333333333333,1722.0
6934919,14,3466.666666666666666667,2493.333333333333333333
6956199,15,2666.666666666666666667,1792.333333333333333333
